resource,dataset,dataset_element_id,excel_column,category_option_combination,category_option_combination_id,has_category_combination
/dataValueSets,M0h4wRJDq7A,KUyUds6Raej,# of ART Patients on 2 weeks report NOT Followed,,,
/dataValueSets,M0h4wRJDq7A,aDZFocwzDvB,# of ART Patients on 2 weeks report Outside Neno,,,
/dataValueSets,M0h4wRJDq7A,WLmm46DjC96,# of ART Patients on 2 weeks report Visited Clinic after Printing TRACE,,,
/dataValueSets,M0h4wRJDq7A,prEoFCZxnHz,# of ART Patients on 6 weeks report NOT Followed,,,
/dataValueSets,M0h4wRJDq7A,tYfWSU1CQ9z,# of ART Patients on 6 weeks report Outside Neno,,,
/dataValueSets,M0h4wRJDq7A,TkANulLlsb2,# of ART Patients on 6 weeks report Visited Clinic after Printing TRACE,,,
/dataValueSets,M0h4wRJDq7A,xKkY25Hlxey,# of ART Patients on 2 week TRACE Report,,,
/dataValueSets,M0h4wRJDq7A,ecLm9cvGDh2,# of ART Patients on 2 weeks report found,,,
/dataValueSets,M0h4wRJDq7A,qfMjCmTLffg,# of ART Patients on 2 weeks report NOT found,,,
/dataValueSets,M0h4wRJDq7A,nm473O03FdN,# of ART Patients on 2 weeks report out of care for more than 4 weeks found,,,
/dataValueSets,M0h4wRJDq7A,TI0EvsTneyx,# of ART Patients on 2 weeks report out of care for more than 4 weeks NOT found,,,
/dataValueSets,M0h4wRJDq7A,h59LQUFivvC,# of ART Patients on 2 weeks report to be TRACED by CHWs,,,
/dataValueSets,M0h4wRJDq7A,rw88PJ0a7Gz,# of ART Patients on 2 weeks report verified at clinic,,,
/dataValueSets,M0h4wRJDq7A,xayaNM2caiK,# of ART Patients on 6 weeks TRACE Report,,,
/dataValueSets,M0h4wRJDq7A,vqCzN5XwkxJ,# of ART Patients on 6 weeks reports found,,,
/dataValueSets,M0h4wRJDq7A,FRjNvXVww2c,# of ART Patients on 6 weeks report NOT found,,,
/dataValueSets,M0h4wRJDq7A,XB7j7pGlq0C,# of ART Patients on 6 weeks report traced by motorbike,,,
/dataValueSets,M0h4wRJDq7A,PHYKimafnfv,# of ART Patients on 6 weeks report verified at clinic,,,
/dataValueSets,M0h4wRJDq7A,sCDczf4NwMd,# of ART Patients on 2 weeks report that have been out of care for 4.0-5.9 weeks,,,
/dataValueSets,M0h4wRJDq7A,tM8lVVMdrZJ,# of NCD Patients on 2 weeks report NOT Followed,,,
/dataValueSets,M0h4wRJDq7A,HYABmZ51620,# of NCD Patients on 2 weeks report Outside Neno,,,
/dataValueSets,M0h4wRJDq7A,ypqVjoxRdDA,# of NCD Patients on 2 weeks report Visited Clinic after Printing TRACE,,,
/dataValueSets,M0h4wRJDq7A,MqJpH0uOetk,# of NCD Patients on 6 weeks report NOT Followed,,,
/dataValueSets,M0h4wRJDq7A,bHDhM0ekd4Y,# of NCD Patients on 6 weeks report Outside Neno,,,
/dataValueSets,M0h4wRJDq7A,ELSO80OCWMK,# of NCD Patients on 6 weeks report Visited Clinic after Printing TRACE,,,
/dataValueSets,M0h4wRJDq7A,eKgDPscZZeD,# of NCD Patients on 2 weeks TRACE Report,,,
/dataValueSets,M0h4wRJDq7A,MzH1GQ5soVU,# of NCD Patients on 2 weeks report found,,,
/dataValueSets,M0h4wRJDq7A,pcFlEwkbQuA,# of NCD Patients on 2 weeks report NOT found,,,
/dataValueSets,M0h4wRJDq7A,PqtuYBNzSys,# of NCD Patients on 2 weeks report out of care for more than 4 weeks found,,,
/dataValueSets,M0h4wRJDq7A,O1sJh0Hlxyb,# of NCD Patients on 2 weeks report out of care for more than 4 weeks NOT found,,,
/dataValueSets,M0h4wRJDq7A,wHJIZObIUVX,# of NCD Patients on 2 weeks report to be TRACED by CHWs,,,
/dataValueSets,M0h4wRJDq7A,nA8LHYdvpkW,# of NCD Patients on 2 weeks report verified at clinic,,,
/dataValueSets,M0h4wRJDq7A,YnC1s9FLifz,# of NCD Patients on 6 weeks TRACE Report,,,
/dataValueSets,M0h4wRJDq7A,rHTVRt9Klsw,# of NCD Patients on 6 weeks report found,,,
/dataValueSets,M0h4wRJDq7A,Us9J09Qgjw4,# of NCD Patients on 6 weeks report NOT found,,,
/dataValueSets,M0h4wRJDq7A,JPm2IaO6x3w,# of NCD Patients on 6 weeks report traced by motorbike,,,
/dataValueSets,M0h4wRJDq7A,BRZSF2nSsyj,# of NCD Patients on 6 weeks report verified at clinic,,,
/dataValueSets,M0h4wRJDq7A,al017Rl5LGB,# of NCD Patients on 2 weeks report that have been out of care for 4.0-5.9 weeks,,,
